timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758579661665,178,GET Home,200,OK,Smoke Test 1-1,text,true,,873,128,1,2,https://prt681store.netlify.app/,178,0,154
1758579661665,178,GET Home,200,OK,Baseline Test 2-1,text,true,,873,128,1,2,https://prt681store.netlify.app/,178,0,154
1758579661844,40,GET Home,200,OK,Baseline Test 2-1,text,true,,873,128,1,1,https://prt681store.netlify.app/,40,0,0
1758579661884,31,GET Home,200,OK,Baseline Test 2-1,text,true,,873,128,1,1,https://prt681store.netlify.app/,31,0,0
1758579661915,31,GET Home,200,OK,Baseline Test 2-1,text,true,,873,128,1,1,https://prt681store.netlify.app/,31,0,0
1758579661946,30,GET Home,200,OK,Baseline Test 2-1,text,true,,873,128,1,1,https://prt681store.netlify.app/,30,0,0
1758579664667,118,GET Home,200,OK,Baseline Test 2-2,text,true,,874,128,1,1,https://prt681store.netlify.app/,118,0,67
1758579664786,47,GET Home,200,OK,Baseline Test 2-2,text,true,,874,128,1,1,https://prt681store.netlify.app/,47,0,0
1758579664834,22,GET Home,200,OK,Baseline Test 2-2,text,true,,874,128,1,1,https://prt681store.netlify.app/,22,0,0
1758579664857,21,GET Home,200,OK,Baseline Test 2-2,text,true,,874,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579664879,21,GET Home,200,OK,Baseline Test 2-2,text,true,,874,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579667670,76,GET Home,200,OK,Baseline Test 2-3,text,true,,874,128,1,1,https://prt681store.netlify.app/,76,0,48
1758579667747,28,GET Home,200,OK,Baseline Test 2-3,text,true,,874,128,1,1,https://prt681store.netlify.app/,28,0,0
1758579667776,33,GET Home,200,OK,Baseline Test 2-3,text,true,,874,128,1,1,https://prt681store.netlify.app/,33,0,0
1758579667809,22,GET Home,200,OK,Baseline Test 2-3,text,true,,874,128,1,1,https://prt681store.netlify.app/,22,0,0
1758579667831,24,GET Home,200,OK,Baseline Test 2-3,text,true,,874,128,1,1,https://prt681store.netlify.app/,24,0,0
1758579670670,75,GET Home,200,OK,Baseline Test 2-4,text,true,,874,128,1,1,https://prt681store.netlify.app/,75,0,50
1758579670746,28,GET Home,200,OK,Baseline Test 2-4,text,true,,874,128,1,1,https://prt681store.netlify.app/,28,0,0
1758579670774,20,GET Home,200,OK,Baseline Test 2-4,text,true,,874,128,1,1,https://prt681store.netlify.app/,20,0,0
1758579670794,21,GET Home,200,OK,Baseline Test 2-4,text,true,,874,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579670815,21,GET Home,200,OK,Baseline Test 2-4,text,true,,874,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579673688,80,GET Home,200,OK,Baseline Test 2-5,text,true,,873,128,1,1,https://prt681store.netlify.app/,80,0,58
1758579673769,20,GET Home,200,OK,Baseline Test 2-5,text,true,,873,128,1,1,https://prt681store.netlify.app/,20,0,0
1758579673789,21,GET Home,200,OK,Baseline Test 2-5,text,true,,873,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579673811,22,GET Home,200,OK,Baseline Test 2-5,text,true,,873,128,1,1,https://prt681store.netlify.app/,22,0,0
1758579673834,21,GET Home,200,OK,Baseline Test 2-5,text,true,,873,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579676682,73,GET Home,200,OK,Baseline Test 2-6,text,true,,873,128,1,1,https://prt681store.netlify.app/,73,0,50
1758579676755,20,GET Home,200,OK,Baseline Test 2-6,text,true,,873,128,1,1,https://prt681store.netlify.app/,20,0,0
1758579676776,21,GET Home,200,OK,Baseline Test 2-6,text,true,,873,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579676798,34,GET Home,200,OK,Baseline Test 2-6,text,true,,873,128,1,1,https://prt681store.netlify.app/,34,0,0
1758579676832,23,GET Home,200,OK,Baseline Test 2-6,text,true,,873,128,1,1,https://prt681store.netlify.app/,23,0,0
1758579679711,82,GET Home,200,OK,Baseline Test 2-7,text,true,,873,128,1,1,https://prt681store.netlify.app/,82,0,58
1758579679793,21,GET Home,200,OK,Baseline Test 2-7,text,true,,873,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579679815,24,GET Home,200,OK,Baseline Test 2-7,text,true,,873,128,1,1,https://prt681store.netlify.app/,24,0,0
1758579679840,22,GET Home,200,OK,Baseline Test 2-7,text,true,,873,128,1,1,https://prt681store.netlify.app/,22,0,0
1758579679862,23,GET Home,200,OK,Baseline Test 2-7,text,true,,873,128,1,1,https://prt681store.netlify.app/,23,0,0
1758579682699,95,GET Home,200,OK,Baseline Test 2-8,text,true,,873,128,1,1,https://prt681store.netlify.app/,95,0,57
1758579682795,28,GET Home,200,OK,Baseline Test 2-8,text,true,,873,128,1,1,https://prt681store.netlify.app/,28,0,0
1758579682824,30,GET Home,200,OK,Baseline Test 2-8,text,true,,873,128,1,1,https://prt681store.netlify.app/,30,0,0
1758579682855,38,GET Home,200,OK,Baseline Test 2-8,text,true,,873,128,1,1,https://prt681store.netlify.app/,38,0,0
1758579682894,38,GET Home,200,OK,Baseline Test 2-8,text,true,,873,128,1,1,https://prt681store.netlify.app/,38,0,0
1758579685711,78,GET Home,200,OK,Baseline Test 2-9,text,true,,873,128,1,1,https://prt681store.netlify.app/,78,0,56
1758579685789,22,GET Home,200,OK,Baseline Test 2-9,text,true,,873,128,1,1,https://prt681store.netlify.app/,22,0,0
1758579685812,22,GET Home,200,OK,Baseline Test 2-9,text,true,,873,128,1,1,https://prt681store.netlify.app/,22,0,0
1758579685835,24,GET Home,200,OK,Baseline Test 2-9,text,true,,873,128,1,1,https://prt681store.netlify.app/,23,0,0
1758579685859,33,GET Home,200,OK,Baseline Test 2-9,text,true,,873,128,1,1,https://prt681store.netlify.app/,33,0,0
1758579688715,76,GET Home,200,OK,Baseline Test 2-10,text,true,,873,128,1,1,https://prt681store.netlify.app/,76,0,53
1758579688792,22,GET Home,200,OK,Baseline Test 2-10,text,true,,873,128,1,1,https://prt681store.netlify.app/,21,0,0
1758579688814,23,GET Home,200,OK,Baseline Test 2-10,text,true,,873,128,1,1,https://prt681store.netlify.app/,23,0,0
1758579688838,28,GET Home,200,OK,Baseline Test 2-10,text,true,,873,128,1,1,https://prt681store.netlify.app/,28,0,0
1758579688867,31,GET Home,200,OK,Baseline Test 2-10,text,true,,873,128,1,1,https://prt681store.netlify.app/,31,0,0
